Stage,25%,Central,Max,Theta,Alpha,Total
1,3.0,7.300000000000001,20.400000000000002,8.724342450977445e-05,0.00010205117989139144,0.00032855606833136295
1,0.6000000000000001,2.0,22.5,5.234228663617166e-05,7.095609465945538e-05,0.0004275421214986386
1,4.2,7.7,12.4,0.00029057761947642576,0.00028744584369838036,0.0008202619011667386
1,2.5,8.0,22.8,8.26131393160909e-05,0.00016770877384022072,0.0004450507659681073
1,6.2,8.6,18.400000000000002,8.820516975246198e-05,0.00023785669552155798,0.0004483084509059752
1,1.2000000000000002,2.4000000000000004,12.4,0.00017428092443791542,6.153696983573126e-05,0.0012433749830666886
1,0.9,2.1,11.0,0.0002545908169515097,0.00010253015189129634,0.0016025651388389434
1,1.3,2.6,10.5,0.00018223825064414702,7.750875791411607e-05,0.0009158292940041877
1,1.7000000000000002,3.2,11.100000000000001,0.00021116675611155858,5.6393301130934086e-05,0.0007931904234512478
1,0.9,2.0,11.100000000000001,0.0002182490716819619,0.00011102340472741917,0.001423208384390831
1,0.5,0.9,4.5,0.0001787625933961473,9.473099629089756e-05,0.0055589822043058835
1,1.0,3.7,49.800000000000004,0.00013705729504594,0.00013264112058133454,0.0011758021888268807
1,0.30000000000000004,0.6000000000000001,10.8,0.0001656863515581062,8.088505466729402e-05,0.003723867004170621
1,0.9,2.8000000000000003,23.3,5.716307045242191e-05,5.4304829548546216e-05,0.0003776793587728855
1,1.7000000000000002,5.300000000000001,24.1,7.047765249336305e-05,6.951722550707207e-05,0.0003389662570710919
1,0.8,2.2,22.6,5.7607964045540045e-05,4.14978964707365e-05,0.00040351417915769763
1,0.9,4.6000000000000005,16.2,8.629989414583327e-05,0.00014447885585774705,0.0005268306079242614
1,1.6,3.6,13.600000000000001,0.00011988701692584493,6.224058382961001e-05,0.00047629872802873896
1,1.0,2.3000000000000003,17.5,4.332201623691882e-05,2.8220335537770597e-05,0.00029670967617268797
1,1.1,2.9000000000000004,13.700000000000001,9.420169744859196e-05,4.1897460578905224e-05,0.0004008813190248518
1,1.4000000000000001,4.3,31.5,0.0001341843428438715,8.255278385555133e-05,0.0005645795072406254
1,2.1,4.1000000000000005,11.0,0.0003694599945176968,0.00010438429926781445,0.001025371527484548
1,2.0,3.4000000000000004,13.0,0.0002138517274039664,0.00012493133503124474,0.0010693001177488528
1,1.4000000000000001,2.6,10.9,0.00023003811755178223,8.49066801545321e-05,0.0012830696758891233
1,1.0,2.1,9.1,0.0003639184861137726,0.00011575877741804786,0.002055626271506395
1,0.4,0.9,8.4,0.0005771022787146758,0.00021759900961521776,0.004426532805764585
1,3.0,7.5,14.4,0.0002032370374099021,0.00023242871196539361,0.000676707037426119
1,3.1,5.5,13.200000000000001,0.000286693697308145,7.960771193260464e-05,0.0006084141199506659
